Date,Open,High,Low,Close,Volume,Sentiment
20200714,14.9,15.19,14.55,14.68,2891773.817,0.03948127779888074
20200713,14.7,15.08,14.5,14.89,2871414.844,0
20200710,15.35,15.48,14.76,14.86,3254272.377,0.6015283300928849
20200709,15.66,15.66,15.31,15.53,3469517.329,0.9468060128462683
20200708,15.23,16.0,15.23,15.76,4095447.757,0.49912186076138165
20200707,16.3,16.63,15.03,15.48,6267919.683,0
20200706,14.6,15.68,14.59,15.68,7168653.356,0.3796285439039437
20200703,13.57,14.32,13.56,14.25,5280918.011,0.6488313311546055
20200702,13.08,13.49,12.97,13.43,3433511.084,0.6158173025677606
20200701,12.79,13.15,12.74,13.12,2202800.843,0
20200630,12.83,12.88,12.72,12.8,1199181.601,0
20200629,12.92,12.97,12.71,12.8,1330678.288,0
20200624,12.64,12.88,12.6,12.8,1946329.095,0
20200623,12.65,12.69,12.52,12.6,1248046.646,0
20200622,12.74,12.76,12.62,12.64,1671023.278,0.6689755792763107
20200619,12.73,12.84,12.61,12.8,1954584.919,0.8816773602077574
20200618,12.76,12.8,12.59,12.76,1419972.017,-0.4168273035060776
20200617,12.89,12.92,12.76,12.85,918251.153,0.8696937213079486
20200616,12.9,12.99,12.86,12.89,927043.687,-0.8336546070121552
20200615,12.85,12.97,12.8,12.82,850767.506,0
20200612,12.9,13.02,12.87,12.99,1331618.728,0.678321864170506
20200611,13.38,13.39,13.0,13.08,1774199.978,0.3815507482016451
20200610,13.71,13.71,13.4,13.49,781995.749,0
20200609,13.64,13.73,13.53,13.67,646895.834,0
20200608,13.68,13.85,13.58,13.62,802115.792,0
20200605,13.6,13.62,13.43,13.59,517232.135,0
20200604,13.53,13.64,13.41,13.57,788707.63,0.810749791511221
20200603,13.64,13.88,13.5,13.54,1308782.294,0.919759359352256
20200602,13.29,13.63,13.28,13.55,1194375.822,0.6719872663989972
20200601,13.1,13.39,13.08,13.32,1173619.006,0
20200529,13.01,13.04,12.92,13.0,594502.123,-0.26852478349901765
20200528,12.87,13.18,12.81,13.07,1255226.999,0.4271210357266057
20200527,13.05,13.19,12.96,13.0,630305.864,0
20200526,13.02,13.07,12.94,13.04,515451.849,0
20200525,12.97,12.98,12.76,12.96,528769.352,0
20200522,13.33,13.34,12.92,12.92,1119433.491,0
20200521,13.52,13.57,13.36,13.4,742797.057,0
20200520,13.38,13.62,13.27,13.51,929928.885,0
20200519,13.41,13.45,13.27,13.36,801755.671,0.9985079423323266
20200518,13.2,13.34,13.12,13.2,843479.669,0
20200515,13.39,13.43,13.14,13.23,1004313.267,0.23670150321156708
20200514,13.55,13.59,13.22,13.3,1259440.848,0
20200513,13.75,13.78,13.53,13.63,871062.043,0
20200512,13.95,14.05,13.72,13.79,772109.502,0.61141935757904
20200511,13.92,14.13,13.9,14.0,859156.594,0
20200508,13.76,14.02,13.68,13.95,1297924.588,0.25945422877656543
20200507,13.76,13.76,13.6,13.69,904349.531,0
20200506,13.76,13.89,13.61,13.77,1382727.481,0.7342995338234817
20200430,14.02,14.32,13.88,13.93,1155968.238,0.340128321962667
20200429,13.48,14.1,13.45,14.02,1541638.203,0.6201725599734468
20200428,13.45,13.56,13.27,13.52,1038718.08,0.6170293209043143
20200427,13.3,13.64,13.25,13.5,1263809.737,0.52123287062199
20200424,13.17,13.28,13.11,13.24,747473.77,0.7468695071470041
20200423,13.23,13.31,13.11,13.23,855052.11,0.6837021733065397
20200422,13.37,13.42,13.16,13.23,1368222.854,0.8073784369082195
20200421,13.3,13.7,13.3,13.45,2861879.086,0.9188571560581591
20200420,12.86,13.05,12.77,12.99,1058524.019,0.9584066573843497
20200417,12.77,13.04,12.65,12.89,1713215.766,0.7603622123458578
20200416,12.79,12.79,12.54,12.68,997623.816,0.8336546070121552
20200415,12.86,12.93,12.78,12.87,843649.273,0.6853520870050953
20200414,12.65,12.86,12.57,12.86,874856.562,0.7092460491920052
20200413,12.67,12.71,12.47,12.59,562008.05,0.9304141088972573
20200410,12.76,12.98,12.65,12.79,853689.95,0
20200409,12.88,12.89,12.72,12.74,522027.888,0.8160790499256818
20200408,12.88,12.92,12.72,12.78,676604.872,0.0
20200407,12.89,12.94,12.81,12.88,1121200.115,0.6286130321844301
20200403,12.82,12.89,12.55,12.61,1047282.4,0.5707009285530146
20200402,12.75,12.97,12.66,12.97,663197.628,0.9726569775892975
20200401,12.86,13.13,12.82,12.89,676070.117,0.7539899751322674
20200331,13.05,13.09,12.78,12.8,662915.471,0.6669231542562409
20200330,12.85,13.04,12.76,12.94,852956.24,0.9086647323529178
20200327,13.25,13.38,13.08,13.15,861618.663,0.8281620529248984
20200326,12.78,13.34,12.72,13.06,1408651.057,0.8024061486259119
20200325,12.88,13.07,12.7,12.87,1467534.956,0.834799760795132
20200324,12.4,12.68,12.27,12.61,1472909.399,0.4316508225250856
20200323,12.0,12.35,11.93,12.15,1300469.494,0.15730645042743452
20200320,12.4,12.68,12.26,12.52,1967487.818,0.39927275656667327
20200319,12.68,12.74,11.91,12.23,2313863.663,0.9731781896529008
20200318,13.41,13.55,12.65,12.71,1816836.893,0.8336546070121552
20200317,13.75,13.97,13.13,13.41,1582506.075,0.5223181728112187
20200316,14.45,14.46,13.75,13.75,1975824.191,0.6628179381151712
20200313,13.9,14.58,13.9,14.52,1669009.835,0.6391434312991329
20200312,14.65,14.84,14.53,14.68,1447436.641,0.7530719374676315
20200311,14.77,14.88,14.62,14.69,1201250.682,0.6133837647794845
20200310,14.38,14.85,14.38,14.76,1709084.565,0.7597896354543695
20200309,14.71,14.73,14.42,14.45,2420392.13,0.9034163983325281
20200306,15.18,15.27,15.02,15.03,1858691.259,0.6731992288068447
20200305,14.8,15.64,14.73,15.39,4089493.523,0.6352428159701141
20200304,14.68,14.78,14.51,14.69,1261123.063,0.5814011110424931
20200303,14.96,14.99,14.63,14.72,1705816.271,0.5510896952555864
20200302,14.55,14.95,14.46,14.79,1647432.269,0.8247092476881818
20200228,14.85,15.04,14.46,14.5,1906892.413,0
20200227,14.96,15.15,14.89,15.11,1464605.739,0
20200226,14.77,15.27,14.7,14.99,1769612.245,0
20200225,15.0,15.13,14.78,15.04,1710369.786,0
20200224,15.46,15.46,15.15,15.23,1820183.854,0
20200221,15.49,15.72,15.45,15.58,1546692.93,0.5763312695466267
20200220,15.27,15.62,15.1,15.59,1897923.029,0
20200219,15.1,15.37,15.08,15.24,1333730.218,0
20200218,15.33,15.33,15.01,15.2,1478274.222,0
20200217,15.04,15.37,14.93,15.37,2337993.586,0
20200214,14.75,15.14,14.7,15.03,2253906.452,0
20200213,14.71,14.88,14.61,14.65,1491327.713,0
20200212,14.79,14.82,14.6,14.77,1573229.042,0
20200211,14.6,14.94,14.56,14.79,2077194.138,0
20200210,14.51,14.53,14.3,14.5,1931983.482,0
