Date,Open,High,Low,Close,Volume,Sentiment
20200709,1.68,1.76,1.66,1.76,19798.856,0
20200708,1.65,1.69,1.64,1.68,12520.341,0
20200707,1.67,1.68,1.65,1.66,18207.183,0
20200706,1.64,1.69,1.63,1.67,13465.153,0
20200703,1.63,1.66,1.61,1.64,6742.973,0
20200702,1.6,1.64,1.59,1.64,6407.879,0
20200701,1.63,1.64,1.56,1.61,7272.738,0
20200630,1.64,1.65,1.61,1.63,6020.62,0
20200629,1.63,1.64,1.61,1.64,5343.318,0
20200624,1.69,1.69,1.64,1.64,7704.436,0
20200623,1.67,1.74,1.66,1.7,8627.806,0
20200622,1.69,1.7,1.67,1.68,5936.814,0
20200619,1.68,1.71,1.68,1.69,5588.063,0
20200618,1.68,1.72,1.68,1.7,4960.417,0
20200617,1.71,1.71,1.67,1.69,7736.763,0
20200616,1.71,1.71,1.68,1.7,5526.337,0
20200615,1.7,1.76,1.69,1.7,6743.936,0
20200612,1.67,1.75,1.66,1.72,6416.351,0
20200611,1.73,1.76,1.7,1.72,9908.277,0
20200610,1.78,1.83,1.73,1.76,14904.747,0
20200609,1.68,1.76,1.67,1.76,10048.667,0
20200608,1.75,1.75,1.67,1.68,10192.712,0
20200605,1.75,1.77,1.73,1.74,6595.051,0
20200604,1.71,1.78,1.7,1.76,15579.123,0
20200603,1.66,1.73,1.65,1.72,16847.838,0
20200602,1.65,1.67,1.63,1.65,7527.063,0
20200601,1.62,1.66,1.61,1.64,6979.588,0
20200529,1.62,1.65,1.61,1.62,4912.406,0
20200528,1.66,1.67,1.61,1.62,6140.38,0
20200527,1.66,1.68,1.64,1.67,5914.296,0
20200526,1.62,1.69,1.59,1.68,7684.907,0
20200525,1.68,1.69,1.61,1.62,7568.849,0
20200522,1.74,1.76,1.67,1.69,7878.141,0
20200521,1.79,1.83,1.75,1.75,7853.834,0
20200520,1.78,1.8,1.76,1.79,6094.683,0
20200519,1.78,1.8,1.75,1.78,5558.521,0
20200518,1.8,1.82,1.75,1.76,6876.034,0
20200515,1.82,1.83,1.78,1.8,6905.626,0
20200514,1.79,1.87,1.76,1.81,8472.14,0
20200513,1.76,1.82,1.76,1.79,5396.521,0
20200512,1.8,1.82,1.74,1.77,6387.218,0
20200511,1.85,1.85,1.79,1.81,8627.352,0
20200508,1.86,1.89,1.84,1.87,7334.768,0
20200507,1.9,1.95,1.85,1.88,14001.963,0
20200506,1.84,1.9,1.79,1.9,15998.464,0
20200430,1.74,1.82,1.73,1.81,10568.178,0
20200429,1.7,1.79,1.69,1.73,6479.808,0
20200428,1.73,1.76,1.66,1.71,6796.963,0
20200427,1.74,1.79,1.72,1.73,11777.597,0
20200424,1.85,1.88,1.81,1.81,8056.594,0
20200423,1.92,1.93,1.86,1.87,8112.398,0
20200422,1.95,1.95,1.88,1.92,15847.93,0
20200421,1.88,1.98,1.87,1.96,22679.988,0
20200420,1.86,1.9,1.85,1.89,4905.755,0
20200417,1.88,1.91,1.85,1.86,7355.395,0
20200416,1.85,1.92,1.84,1.89,7020.988,0
20200415,1.89,1.89,1.86,1.87,6740.763,0
20200414,1.83,1.92,1.83,1.89,7035.81,0
20200413,1.87,1.89,1.83,1.84,8802.369,0
20200410,1.98,1.98,1.9,1.91,12684.842,0
20200409,1.97,2.01,1.94,1.97,20893.839,0
20200408,1.87,1.97,1.84,1.97,24065.343,0
20200407,1.89,1.9,1.85,1.88,14847.437,0
20200403,1.84,1.91,1.84,1.87,15890.221,0
20200402,1.9,1.93,1.82,1.86,27016.618,0
20200401,1.92,2.01,1.92,1.92,28407.436,0
20200331,2.07,2.07,2.01,2.02,8427.251,0
20200330,2.09,2.1,2.01,2.05,14195.395,0
20200327,2.13,2.17,2.11,2.12,15139.007,0
20200326,2.11,2.22,2.09,2.14,16801.599,0
20200325,2.1,2.12,2.08,2.12,12499.871,0
20200324,2.07,2.1,2.02,2.07,11867.382,0
20200323,2.12,2.12,2.05,2.06,13289.382,0
20200320,2.15,2.18,2.12,2.16,11558.995,0
20200319,2.2,2.24,2.1,2.15,18580.13,0
20200318,2.28,2.29,2.2,2.21,14031.052,0
20200317,2.27,2.32,2.18,2.25,15235.933,0
20200316,2.4,2.43,2.27,2.28,21589.118,0
20200313,2.33,2.41,2.31,2.39,19654.783,0
20200312,2.41,2.44,2.39,2.43,21303.822,0
20200311,2.54,2.62,2.47,2.47,30334.898,0
20200310,2.5,2.58,2.46,2.56,37033.394,0
20200309,2.59,2.7,2.55,2.59,66740.728,0
20200306,2.42,2.57,2.41,2.57,38714.013,0
20200305,2.41,2.48,2.4,2.45,33318.204,0
20200304,2.38,2.41,2.35,2.4,20587.584,0
20200303,2.39,2.45,2.37,2.39,23695.264,0
20200302,2.32,2.4,2.32,2.38,23380.521,0
20200228,2.38,2.39,2.33,2.33,33109.082,0
20200227,2.43,2.49,2.42,2.45,34592.182,0
20200226,2.4,2.47,2.38,2.43,46658.32,0
20200225,2.41,2.44,2.35,2.43,41464.924,0
20200224,2.45,2.48,2.42,2.47,35099.698,0
20200221,2.56,2.56,2.45,2.47,59252.271,0
20200220,2.36,2.5,2.36,2.5,63490.376,0
20200219,2.38,2.44,2.37,2.38,37307.272,0
20200218,2.38,2.47,2.34,2.41,59729.19,0
20200217,2.27,2.36,2.26,2.36,24817.485,0
20200214,2.24,2.31,2.23,2.25,27535.57,0
20200213,2.34,2.36,2.27,2.27,45719.564,0
20200212,2.35,2.39,2.31,2.37,67882.565,0
20200211,2.39,2.43,2.35,2.43,85031.01,0
20200210,2.2,2.31,2.18,2.31,27849.421,0
20200207,2.25,2.27,2.16,2.2,59086.583,0
20200206,2.27,2.29,2.21,2.27,56323.477,0
20200205,2.21,2.4,2.21,2.27,97626.749,0
20200204,2.33,2.33,2.33,2.33,1263.792,0
20200203,2.45,2.45,2.45,2.45,489.51,0
20200123,2.61,2.63,2.58,2.58,20736.468,0
20200122,2.72,2.77,2.72,2.72,117134.575,0
20200121,2.86,2.86,2.86,2.86,3355.924,0
20200120,3.02,3.07,3.01,3.01,31281.747,0
20200117,3.17,3.32,3.17,3.17,115687.033,0
20200116,3.34,3.34,3.34,3.34,3099.186,0
20200115,3.52,3.52,3.52,3.52,1235.168,0
20200114,3.71,3.71,3.71,3.71,3311.917,0
20200113,3.91,3.91,3.91,3.91,730.388,0
20200109,4.04,4.12,4.02,4.12,76311.638,0
20200108,4.11,4.12,3.96,3.99,70803.225,0
20200107,4.04,4.13,4.02,4.11,96553.111,0
20200106,3.99,4.1,3.95,4.06,83198.484,0
20200103,4.15,4.25,4.05,4.05,128590.036,0
20200102,3.96,4.15,3.93,4.08,112093.425,0
20191231,3.91,3.98,3.85,3.93,57179.637,0
20191230,3.85,3.98,3.58,3.9,95422.875,0
20191227,3.95,4.02,3.86,3.87,74393.83,0
20191226,3.87,3.96,3.85,3.95,62150.577,0
20191225,3.99,4,3.88,3.9,76144.784,0
20191224,3.98,4.07,3.87,3.97,83833.546,0
20191223,4.24,4.24,3.86,3.98,140314.501,0
20191220,4.25,4.58,4.18,4.29,202329.606,0
20191219,4.12,4.26,4.06,4.21,151162.915,0
20191218,4.06,4.28,4.06,4.11,129150.793,0
20191217,4.07,4.12,4.03,4.07,101910.809,0
20191216,4.1,4.12,4.01,4.09,98952.322,0
20191213,4.1,4.12,4.01,4.1,112382.043,0
20191212,3.96,4.16,3.9,4.1,142936.224,0
20191211,3.95,4.14,3.92,4,142615.626,0
20191210,4.01,4.01,3.88,3.97,123031.091,0
20191209,3.95,4.18,3.83,4.01,226611.968,0
20191206,3.54,3.91,3.54,3.91,105660.758,0
20191205,3.51,3.59,3.49,3.55,51797.848,0
20191204,3.52,3.53,3.47,3.48,30779.179,0
20191203,3.55,3.55,3.47,3.53,34788.23,0
20191202,3.56,3.62,3.49,3.56,40754.362,0
20191129,3.58,3.62,3.47,3.58,51976.224,0
20191128,3.57,3.64,3.55,3.58,54788.385,0
20191127,3.6,3.62,3.53,3.56,53036.708,0
20191126,3.63,3.72,3.53,3.6,69966.204,0
20191125,3.85,3.87,3.52,3.62,95978.6,0
20191122,4.06,4.1,3.84,3.84,112433.797,0
20191121,4.13,4.19,4.02,4.09,129417.497,0
20191120,3.97,4.32,3.92,4.2,190679.718,0
20191119,4.09,4.19,4,4.13,138033.153,0
20191118,4,4.24,3.89,4.15,166289.5,0
20191115,4.38,4.47,4.08,4.11,216533.387,0
20191114,4.6,4.85,4.47,4.53,300712.681,0
20191113,4.16,4.94,4.15,4.8,386598.445,0
20191112,4.5,4.88,4.35,4.54,442449.488,0
20191111,4.05,4.47,4.01,4.47,321817.619,0
20191108,4.27,4.27,3.99,4.06,290393.258,0
20191107,3.53,3.88,3.53,3.88,51967.286,0
20191106,3.55,3.63,3.44,3.53,99692.212,0
20191105,3.79,3.98,3.65,3.65,181134.913,0
20191104,3.39,3.63,3.39,3.63,36832.005,0
20191101,3.38,3.39,3.16,3.3,77614.037,0
20191031,3.77,3.83,3.45,3.45,89895.447,0
20191030,3.81,3.91,3.75,3.83,60329.128,0
20191029,3.86,4.08,3.81,3.83,94791.608,0
20191028,3.69,3.99,3.68,3.86,100580.119,0
20191025,3.65,3.69,3.62,3.67,18432.229,0
20191024,3.63,3.69,3.6,3.65,18578.354,0
20191023,3.68,3.7,3.62,3.64,20587.556,0
20191022,3.58,3.71,3.57,3.69,37306.006,0
20191021,3.56,3.63,3.43,3.63,37221.597,0
20191018,3.61,3.68,3.53,3.55,32431,0
20191017,3.71,3.74,3.61,3.64,40415.297,0
20191016,3.81,3.84,3.71,3.74,31270.74,0
20191015,3.78,3.84,3.74,3.83,44798.03,0
20191014,3.88,4.17,3.88,3.92,77503.648,0
20191011,3.83,3.83,3.76,3.79,25659.467,0
20191010,3.81,3.84,3.78,3.83,23302.005,0
20191009,3.76,3.8,3.71,3.8,17715.492,0
20191008,3.8,3.82,3.74,3.75,18294.928,0
20190930,3.89,3.91,3.79,3.8,27619.081,0
20190927,3.86,3.92,3.83,3.9,30298.203,0
20190926,4.03,4.07,3.85,3.86,48404.655,0
20190925,4.15,4.16,4.01,4.02,49815.426,0
20190924,4.17,4.22,4.13,4.13,45347.124,0
20190923,4.23,4.23,4.01,4.18,80885.337,0
20190920,4.36,4.61,4.33,4.4,98818.143,0
20190919,4.39,4.39,4.29,4.33,40118.559,0
20190918,4.36,4.42,4.33,4.37,34730.171,0
20190917,4.5,4.51,4.32,4.36,61474.941,0
20190916,4.5,4.55,4.46,4.5,57960.049,0
20190912,4.44,4.5,4.4,4.46,49803.604,0
20190911,4.52,4.55,4.42,4.44,80899.118,0
20190910,4.52,4.58,4.47,4.57,73403.233,0
20190909,4.45,4.53,4.41,4.51,59465.273,0
20190906,4.47,4.47,4.37,4.4,54779.669,0
20190905,4.38,4.65,4.38,4.45,90333.669,0
20190904,4.37,4.41,4.33,4.36,35604.617,0
20190903,4.39,4.39,4.32,4.36,31145.499,0
20190902,4.22,4.38,4.2,4.37,40060.557,0
20190830,4.38,4.45,4.25,4.26,54776.389,0
20190829,4.36,4.43,4.31,4.37,46674.616,0
20190828,4.43,4.53,4.37,4.39,73126.91,0
20190827,4.36,4.74,4.29,4.51,135543.972,0
20190826,4.16,4.36,4.09,4.33,84725.012,0
20190823,4.19,4.29,4.17,4.22,51244.192,0
20190822,4.22,4.38,4.2,4.29,68272.939,0
20190821,4.24,4.26,4.17,4.22,33892.708,0
20190820,4.28,4.33,4.22,4.25,41846.305,0
20190819,4.18,4.27,4.18,4.27,45384.174,0
20190816,4.27,4.3,4.15,4.17,40899.977,0
20190815,4.2,4.32,4.13,4.3,26610.819,0
20190814,4.4,4.41,4.33,4.34,17790.816,0
20190813,4.28,4.43,4.28,4.33,21842.113,0
20190812,4.29,4.33,4.24,4.33,18828.15,0
20190809,4.44,4.48,4.25,4.27,28622.567,0
20190808,4.47,4.56,4.42,4.43,23154.831,0
20190807,4.47,4.51,4.4,4.41,19591.184,0
20190806,4.63,4.73,4.32,4.43,40711.205,0
20190805,4.71,4.78,4.68,4.71,23965.634,0
20190802,4.68,4.77,4.63,4.75,41787.748,0
20190801,4.7,4.95,4.69,4.79,35623.937,0
20190731,4.78,4.8,4.71,4.74,21496.142,0
20190730,4.82,4.85,4.79,4.81,25453.254,0
20190729,4.82,4.87,4.76,4.81,29000.414,0
20190726,4.94,4.97,4.85,4.85,46199.385,0
