Date,Open,High,Low,Close,Volume
20200709,6.46,6.61,6.42,6.58,27373.778
20200708,6.25,6.47,6.25,6.42,24476.615
20200707,6.29,6.37,6.17,6.3,26460.248
20200706,6.11,6.34,6.1,6.29,28351.43
20200703,6.03,6.14,6.02,6.12,15235.043
20200702,5.97,6.04,5.92,6.03,9496.73
20200701,5.99,5.99,5.93,5.96,5928.808
20200630,5.92,5.98,5.91,5.96,5397.679
20200629,5.89,5.93,5.86,5.92,5110.475
20200624,5.95,6.0,5.93,5.94,4743.18
20200623,6.06,6.06,5.96,5.98,6866.589
20200622,6.0,6.08,5.98,6.02,8984.005
20200619,6.01,6.13,5.97,5.99,13108.028
20200618,5.92,6.02,5.88,6.02,10498.183
20200617,5.99,5.99,5.88,5.93,4546.973
20200616,5.87,5.97,5.87,5.92,4500.405
20200615,5.82,5.96,5.82,5.86,5870.707
20200612,5.83,5.9,5.76,5.88,7786.08
20200611,6.01,6.03,5.92,5.93,7949.575
20200610,6.02,6.04,5.96,6.02,7640.882
20200609,6.07,6.07,6.01,6.03,6031.888
20200608,6.02,6.07,6.0,6.05,8390.638
20200605,6.02,6.08,5.99,6.03,9034.241
20200604,6.0,6.14,6.0,6.06,17415.014
20200603,6.05,6.09,5.99,6.0,9018.481
20200602,6.02,6.15,5.95,6.03,14022.189
20200601,5.89,6.0,5.88,6.0,12198.715
20200529,5.86,6.01,5.85,5.86,9651.369
20200528,5.95,6.06,5.82,5.88,13732.986
20200527,6.0,6.1,5.95,5.95,30074.495
20200526,5.74,6.27,5.71,6.14,54970.174
20200525,5.79,5.79,5.7,5.7,5641.072
20200522,5.86,5.87,5.73,5.79,6921.909
20200521,5.82,5.88,5.8,5.85,5438.738
20200520,5.95,5.96,5.81,5.82,8326.617
20200519,5.98,6.0,5.91,5.93,6964.126
20200518,6.01,6.12,6.0,6.03,9972.852
20200515,5.94,6.09,5.93,6.07,11764.947
20200514,5.94,5.94,5.87,5.88,5156.667
20200513,5.92,6.04,5.92,5.97,4180.222
20200512,6.03,6.08,5.92,5.97,4794.323
20200511,6.05,6.05,5.95,6.04,6165.259
20200508,5.94,5.99,5.92,5.96,5084.389
20200507,6.03,6.03,5.92,5.94,4250.726
20200506,5.83,5.96,5.82,5.96,6348.505
20200430,5.8,5.87,5.8,5.84,5836.436
20200429,5.75,5.88,5.75,5.76,9646.998
20200428,6.05,6.05,5.73,5.84,9512.8
20200427,5.98,6.1,5.98,6.0,6010.337
20200424,6.12,6.13,6.02,6.03,7733.433
20200423,6.09,6.2,6.07,6.08,10692.27
20200422,6.04,6.09,5.99,6.08,5726.682
20200421,6.08,6.1,6.0,6.05,8729.96
20200420,6.11,6.13,6.02,6.09,9562.012
20200417,6.16,6.18,6.11,6.11,8988.133
20200416,6.17,6.17,6.11,6.13,5998.955
20200415,6.13,6.2,6.09,6.17,8728.857
20200414,6.1,6.14,6.07,6.14,10346.693
20200413,6.1,6.2,6.06,6.1,6109.168
20200410,6.3,6.31,6.1,6.14,10549.532
20200409,6.34,6.36,6.28,6.3,10356.015
20200408,6.21,6.33,6.18,6.28,9079.646
20200407,6.16,6.26,6.09,6.23,11452.472
20200403,6.16,6.17,6.05,6.1,6968.308
20200402,6.04,6.17,6.03,6.17,7866.445
20200401,6.08,6.1,5.98,6.09,5676.992
20200331,6.12,6.17,6.04,6.06,5421.063
20200330,6.19,6.19,6.03,6.06,11416.827
20200327,6.37,6.39,6.22,6.28,11271.397
20200326,6.42,6.42,6.32,6.32,7861.159
20200325,6.45,6.47,6.31,6.41,15523.527
20200324,6.21,6.28,6.12,6.26,9563.335
20200323,6.32,6.32,6.12,6.14,11588.542
20200320,6.38,6.45,6.32,6.44,13030.162
20200319,6.37,6.39,6.12,6.33,18884.253
20200318,6.56,6.66,6.35,6.37,16888.753
20200317,6.76,6.84,6.43,6.53,23499.375
20200316,7.06,7.12,6.7,6.72,27513.231
20200313,6.96,7.1,6.72,6.99,35654.264
20200312,7.04,7.32,7.01,7.2,35858.969
20200311,7.29,7.32,7.09,7.1,38297.414
20200310,6.9,7.33,6.89,7.29,47287.52
20200309,7.3,7.3,7.08,7.08,73182.414
20200306,7.52,7.69,7.5,7.51,108417.074
20200305,7.45,8.19,7.32,7.91,228604.075
20200304,6.8,7.45,6.7,7.45,77519.454
20200303,6.66,6.9,6.65,6.77,24864.277
20200302,6.52,6.66,6.43,6.63,11953.798
20200228,6.66,6.69,6.41,6.41,19395.977
20200227,6.61,6.82,6.61,6.82,22405.374
20200226,6.61,6.72,6.54,6.58,21640.241
