date,open,high,low,close,volume
2020-07-08,78.8,79.05,77.0,78.39,79401.75
2020-07-07,77.27,80.22,75.51,79.63,102605.8
2020-07-06,77.97,78.07,76.07,77.26,108257.78
2020-07-03,77.88,78.68,74.7,78.54,85568.56
2020-07-02,80.0,81.18,78.0,78.82,85175.8
2020-07-01,76.01,81.95,75.2,80.36,83510.78
2020-06-30,71.94,78.86,71.94,76.5,84884.27
2020-06-29,70.5,73.5,69.6,71.94,58118.89
2020-06-24,72.12,72.5,69.28,72.2,89072.05
2020-06-23,68.92,73.56,68.69,72.7,93601.61
2020-06-22,70.2,70.3,68.2,68.87,83623.65
2020-06-19,66.31,70.67,66.31,70.3,80496.63
2020-06-18,64.14,67.3,63.9,65.98,59503.27
2020-06-17,64.76,64.95,63.9,64.5,37827.67
2020-06-16,64.74,65.5,63.9,64.78,53977.02
2020-06-15,64.35,66.0,63.73,63.75,64801.73
2020-06-12,61.2,65.06,60.99,64.35,68463.0
2020-06-11,64.94,64.97,62.51,62.75,77550.3
2020-06-10,64.24,65.25,64.1,64.99,45653.83
2020-06-09,64.49,64.85,63.98,64.45,43457.58
2020-06-08,64.97,65.14,63.03,64.49,78021.6
2020-06-05,67.4,67.4,63.58,65.54,136080.12
2020-06-04,63.53,67.3,63.53,67.3,125062.94
2020-06-03,62.29,63.5,60.77,63.3,65580.92
2020-06-02,64.1,64.1,61.2,61.76,91919.4
2020-06-01,63.5,65.0,62.89,64.36,75315.39
2020-05-29,61.9,63.68,61.28,63.29,50114.19
2020-05-28,60.82,62.11,60.18,61.9,47528.61
2020-05-27,61.05,63.27,60.63,61.05,51952.02
2020-05-26,60.17,61.97,60.17,61.05,60399.71
2020-05-25,58.68,60.3,56.56,59.58,70432.45
2020-05-22,60.36,60.36,58.2,58.58,76076.73
2020-05-21,60.8,61.18,59.41,59.88,77755.4
2020-05-20,60.0,61.3,59.2,60.81,64117.24
2020-05-19,61.0,61.09,58.51,60.7,80745.09
2020-05-18,60.3,61.67,59.6,61.25,54423.72
2020-05-15,60.99,61.5,60.02,60.68,59042.17
2020-05-14,59.2,62.37,58.45,60.32,137730.45
2020-05-13,55.92,59.97,55.55,59.46,101293.65
2020-05-12,55.33,56.77,54.62,55.93,65160.78
2020-05-11,54.8,55.66,54.65,54.79,69487.94
2020-05-08,55.38,57.0,54.7,55.36,111772.69
2020-05-07,55.36,55.87,54.12,55.5,86616.69
2020-05-06,53.18,55.26,53.18,55.26,145779.27
2020-04-30,52.6,54.5,51.28,52.75,141101.23
2020-04-29,49.9,51.08,48.88,51.05,101534.22
2020-04-28,49.53,51.0,48.88,50.0,82731.75
2020-04-27,48.83,50.1,48.35,49.64,79409.1
2020-04-24,47.34,49.47,46.9,48.82,122804.25
2020-04-23,46.79,47.76,46.72,47.28,49206.4
2020-04-22,45.37,46.93,45.12,46.79,51841.94
2020-04-21,46.67,46.85,45.3,45.67,41252.87
2020-04-20,46.83,47.01,45.92,46.89,51554.96
2020-04-17,46.79,47.3,45.92,46.55,55416.83
2020-04-16,45.98,46.75,45.0,46.55,57872.89
2020-04-15,47.24,47.66,46.11,46.13,56091.71
2020-04-14,47.8,47.84,46.8,47.25,65357.53
2020-04-13,46.93,48.8,46.2,47.9,83308.47
2020-04-10,46.74,48.63,46.5,47.05,100537.22
2020-04-09,46.11,46.89,45.41,46.72,62921.24
2020-04-08,46.26,46.78,45.62,45.81,40282.61
2020-04-07,45.5,46.95,45.5,46.54,73037.16
2020-04-03,44.81,46.18,44.78,45.37,72310.79
2020-04-02,44.84,45.01,43.96,45.01,68053.3
2020-04-01,45.72,46.2,44.57,45.35,60648.29
2020-03-31,46.05,46.48,45.36,45.71,73561.51
2020-03-30,44.34,46.66,43.75,46.1,136794.42
2020-03-27,44.5,45.7,44.25,44.45,86525.43
2020-03-26,44.48,45.38,43.9,44.11,88249.33
2020-03-25,44.48,45.28,43.2,44.88,156318.81
2020-03-24,41.3,43.27,41.01,43.27,205310.2
2020-03-23,38.16,39.95,38.0,39.34,73678.14
2020-03-20,37.68,39.2,37.68,39.2,69403.03
2020-03-19,38.11,38.24,36.4,37.68,89213.42
2020-03-18,38.6,39.22,38.11,38.11,86973.09
2020-03-17,39.88,40.74,37.93,38.25,108840.24
2020-03-16,43.06,43.27,39.99,40.1,80239.35
2020-03-13,41.02,43.3,41.01,43.0,53067.68
2020-03-12,44.65,44.65,43.31,43.68,58648.13
2020-03-11,44.45,45.5,44.3,44.72,80811.72
2020-03-10,43.01,44.7,43.0,44.46,78369.04
2020-03-09,44.62,44.63,43.0,43.67,99554.98
2020-03-06,45.0,46.05,44.8,45.3,77752.42
2020-03-05,44.35,46.02,44.33,45.79,152438.09
2020-03-04,43.16,44.25,42.73,44.25,87267.93
2020-03-03,43.88,43.93,43.06,43.2,90621.26
2020-03-02,42.6,43.95,42.6,43.3,110009.08
2020-02-28,43.04,43.38,42.06,42.7,143272.44
2020-02-27,43.37,44.15,43.25,43.74,71860.09
2020-02-26,43.86,44.79,43.0,43.02,129634.1
2020-02-25,44.48,44.79,43.88,44.24,92455.99
2020-02-24,46.0,46.0,45.1,45.2,102269.95
2020-02-21,46.5,46.7,46.09,46.22,80567.3
2020-02-20,45.52,47.06,45.51,46.5,132903.27
2020-02-19,45.55,46.18,45.4,45.54,87233.53
2020-02-18,45.48,45.6,45.03,45.5,54130.33
2020-02-17,45.0,45.56,44.9,45.5,60915.17
2020-02-14,44.96,45.34,44.82,45.0,39013.31
2020-02-13,45.72,45.88,44.98,44.98,43483.42
2020-02-12,45.5,46.05,45.31,45.73,45987.23
2020-02-11,45.18,45.98,44.99,45.55,74872.11
2020-02-10,45.3,45.5,44.8,45.11,64729.94
2020-02-07,44.7,46.47,44.62,45.61,67521.82
2020-02-06,44.82,45.2,44.2,45.08,47977.51
2020-02-05,45.05,45.57,44.56,44.81,61697.7
2020-02-04,42.7,45.37,42.5,45.05,95196.35
2020-02-03,43.5,43.97,43.5,43.5,65808.26
2020-01-23,48.4,49.18,47.85,48.33,64160.79
2020-01-22,49.1,49.85,47.8,49.73,80204.83
2020-01-21,51.93,51.93,49.35,49.8,102847.47
2020-01-20,51.17,52.46,51.02,51.9,73984.51
2020-01-17,50.93,51.27,50.7,51.25,50379.28
