Date,Open,High,Low,Close,Amount,Sentiment
20200717,6.8,6.89,6.67,6.75,428132.113,0
20200716,7.24,7.28,6.76,6.79,784244.038,0
20200715,7.65,7.69,7.18,7.18,933660.649,0
20200714,7.69,7.94,7.42,7.59,1230187.681,-0.5370495669980353
20200713,7.23,7.77,7.2,7.68,1313236.077,0
20200710,7.5,7.5,7.2,7.24,943558.492,0
20200709,7.42,7.6,7.3,7.53,1285154.822,0
20200708,7.2,7.47,7.17,7.42,1063908.514,0
20200707,7.44,7.48,7.11,7.2,1305267.28,0
20200706,6.89,7.34,6.83,7.29,1369231.049,0
20200703,6.55,6.96,6.52,6.81,985549.222,0
20200702,6.4,6.64,6.36,6.59,638606.279,0
20200701,6.29,6.4,6.27,6.38,286399.16,0
20200630,6.28,6.32,6.25,6.28,220666.855,0
20200629,6.44,6.44,6.24,6.25,317164.029,0
20200624,6.5,6.56,6.45,6.45,267562.495,0
20200623,6.5,6.62,6.47,6.5,322003.365,0
20200622,6.6,6.62,6.49,6.51,279060.299,0
20200619,6.6,6.63,6.53,6.56,285963.04,0
20200618,6.52,6.69,6.5,6.58,388594.415,0
20200617,6.52,6.65,6.47,6.53,364496.825,0
20200616,6.35,6.6,6.33,6.55,510083.608,0.3045047809637283
20200615,6.24,6.43,6.22,6.31,246371.685,0
20200612,6.17,6.34,6.11,6.27,293601.737,0
20200611,6.49,6.54,6.34,6.36,356032.541,0
20200610,6.48,6.64,6.41,6.5,395939.854,0
20200609,6.45,6.54,6.44,6.47,240256.182,0
20200608,6.5,6.54,6.44,6.45,287117.676,0
20200605,6.65,6.65,6.43,6.49,525246.169,0
20200604,6.68,6.9,6.67,6.72,479917.211,0
20200603,9.28,9.49,9.15,9.3,589485.66,0
20200602,9.41,9.46,9.23,9.31,619375.692,0
20200601,9.36,9.59,9.33,9.46,806487.161,0
20200529,9.35,9.56,9.25,9.4,862402.278,0
20200528,8.95,9.66,8.94,9.51,1368307.126,0.49247127262042
20200527,8.51,9.27,8.4,8.94,815807.795,0
20200526,8.41,8.57,8.38,8.53,273287.773,0
20200525,8.56,8.59,8.35,8.38,359748.841,0
20200522,8.96,8.98,8.6,8.7,771254.617,0
20200521,8.47,9.24,8.47,9.09,1372531.809,-0.04554590928840507
20200520,8.65,8.65,8.37,8.4,313396.232,0
20200519,8.78,8.83,8.66,8.68,278133.828,0
20200518,8.8,8.92,8.65,8.79,321580.933,0
20200515,8.86,9.08,8.65,8.88,474978.954,0
20200514,8.78,9.11,8.72,8.85,554081.675,0
20200513,8.54,8.95,8.5,8.88,546869.935,0
20200512,8.59,8.62,8.3,8.52,218427.705,0
20200511,8.62,8.71,8.56,8.6,202565.18,0
20200508,8.58,8.68,8.56,8.62,217667.617,0
20200507,8.54,8.69,8.5,8.57,234080.153,0
20200506,8.24,8.56,8.22,8.55,267484.964,0
20200430,8.17,8.38,8.14,8.35,227520.127,0
20200429,8.1,8.28,8.09,8.19,145627.012,0
20200428,8.42,8.53,8.02,8.17,314495.299,0
20200427,8.79,8.79,8.47,8.52,251652.588,0
20200424,8.98,8.98,8.69,8.79,321780.884,0
20200423,9.05,9.05,8.95,8.96,190570.685,0
20200422,8.99,9.05,8.93,9.03,172916.216,0
20200421,9.06,9.06,8.95,9.0,233942.105,0
20200420,9.09,9.16,9.05,9.09,211092.513,0
20200417,9.12,9.23,9.07,9.12,276192.381,0
20200416,9.01,9.13,8.98,9.08,175682.948,0
20200415,9.19,9.19,9.04,9.06,227970.741,0
20200414,9.05,9.17,9.05,9.17,187116.731,0
20200413,9.02,9.1,8.98,9.03,160834.529,0
20200410,9.32,9.32,9.04,9.07,276988.484,0
20200409,9.38,9.43,9.33,9.34,253909.013,0
20200408,9.25,9.5,9.22,9.38,360239.808,0
20200407,9.33,9.36,9.25,9.32,337919.714,0
20200403,9.3,9.36,9.18,9.2,280317.846,0
20200402,8.98,9.5,8.95,9.39,524685.277,0
